"filename", "language", "Vue", "TypeScript", "Less", "HTML", "CSS", "XML", "comment", "blank", "total"
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\views\Attention\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\views\DiscoverMusic\SongList.vue", "Vue", 202, 0, 0, 0, 0, 0, 1, 3, 206
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\views\DiscoverMusic\children\customization.vue", "Vue", 8, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\views\DiscoverMusic\children\newestSongs.vue", "Vue", 8, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\views\DiscoverMusic\children\rankList.vue", "Vue", 8, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\views\DiscoverMusic\children\recommend.vue", "Vue", 77, 0, 0, 0, 0, 0, 0, 4, 81
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\views\DiscoverMusic\children\singer.vue", "Vue", 8, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\views\DiscoverMusic\index.vue", "Vue", 108, 0, 0, 0, 0, 0, 0, 3, 111
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\views\DiscoverMusic\type.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\views\Home.vue", "Vue", 62, 0, 0, 0, 0, 0, 0, 4, 66
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\views\LiveStreaming\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\views\Login\children\PhoneLogin.vue", "Vue", 347, 0, 0, 0, 0, 0, 0, 2, 349
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\views\Login\children\QRcodeLogin.vue", "Vue", 131, 0, 0, 0, 0, 0, 0, 3, 134
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\views\Login\index.vue", "Vue", 31, 0, 0, 0, 0, 0, 0, 1, 32
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\views\MusicVideo\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\atrox\Desktop\chat\cloud_music\src\renderer\src\views\Podcast\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 1, 1
"Total", "-", 2023, 1180, 174, 14, 257, 34, 128, 198, 4008
